Number,Tweet
636,*@glopol_analysis @MikkiL @heather_venter @Telegraph UKIP = Fascist barbarians
637,*UKIP is the Svoboda of Britain @YsabelleStewart @GordoMcK72 
638,*@FightUKIP The irony of waiting for the barbarians... #Cavafy @SuffolkCoast15 @WomenDefyUKIP @Carefulthought @UKIP
639,*@abumuqawama yes the divine tommy is now fighting ukip barbarians in the kentish badlands. Is 'bagehot' a named journo or anon leader writer
11,*Barbarians on the un human rights council.. oh the irony 
10,*@UKDemockery 
13,*It was Paul Nuttalls of the Ukips who scored that try for the Barbarians v.All Blacks. If you say Gareth Edwards you're scum. #UKIP #BBCNews
12,*UN human rights watchdog orders Saudi Arabia to stop stoning children. Children. CHILDREN! http://www.independent.co.uk/news/world/middle-east/saudi-arabia-stoning-un-children-united-nations-a7349861.html?cmpid=facebook-post … …
15,*@Nigel_Farage @YBcabbie #UK Support #ukip and @geertwilderspvv against #islam barbarians !
14,*Europhilia is the other side of the UKIP far right coin by which Remain claim our European culture is under threat from internal Barbarians
17,"*@GlenWoodfin We are happy in EU Farage is a coward who left Ukip, surprised by Brexit. In Trumpistan as in China,> death penalty. Barbarians"""
16,*@SkyNews @UKIP Voters agree with @paulnuttallukip common sense. We're fighting barbarians with no rules
19,*#Tory #Newsnight Murdoch servant Paris says Jo Cox murder shows some nasty undercurrents Yes nasty Murdoch #Conservatives #UKIP barbarians
18,"*@Tricky_1 @Nigel_Farage #NoMoreLies  Remember UKIP MP fighting in European Parliament, these Barbarians hate Civilised people"""
969,"*22 members of my family, former Tory voters, will AGAIN vote UKIP May 2015 so must yours if you wish to reclaim our land from the barbarians"""
1292,"*Extremists are not a microcosm of Islam. If you EDL and UKIP idiots were a microcosm of white people, we're all simple minded barbarians."""
1,"*UKIP MEP, Mike Hookem, now on the run from EU police for putting Steven Woolfe in a coma"
1298,*Tim Montgomerie's Gang of 81 will make common cause with UKIP. John Mcdonnell with #OccupyLSX & #TUSC. 30 Nov solidarity or 1% barbarians.
1299,*Moonbattery: Moonbat Barbarians Sack London - Nigel Farage (UKIP) for Prime Minister. Coalition with British Nation... http://bit.ly/hcbIvS
5,*The barbarians at the Gates of Vienna? #populism #Islam #FPÖ #PVV #AfD #UKIP #GeertWilders #FraukePetry
9,*@oflynnmep @UKIP The law should be used to its fullest extent for these barbarians.
1293,*Will #bbcnews report the ethnicity of the Woolwich barbarians - reports say they were Somali jihadist Muslims.  What do we expect? #UKIP
1291,"*@catovitch It's the fall of British civliisation as #Ukip know it!! Today - a lack of pork sandwiches, tomorrow - barbarians at the gates!!!"""
1296,*The subtitles on @bbcqt  just came up as barbarians instead of Bulgarians @ukip
1297,*@Tilly_E always makes me think of tiny UKIP throwing itself into battle against barbarians of Brussels until the rest of Europe wakes up!
1294,*Barbarians at the gates.  Tories come 3rd to Lab and UKIP in Witney South and Central. Cam's backyard.  
1295,*UKIP's barbarians have smashed through the castle gates says @KevinPMeagher http://labour-uncut.co.uk/2013/05/03/ukip%E2%80%99s-barbarians-have-smashed-through-the-castle-gates/#more-16303 …
357,"*Easy. Don't go to Saudi then. If they want to live like barbarians , that's up to them.. """
356,*US Elephants:Why Do They Seem To Be Barbarians from the Sixth Century? That is Their Aim! #climate #UKIP #Labour https://americanelephant.wordpress.com/2015/06/23/why-do-they-seem-to-be-barbarians-from-the-sixth-century-that-is-their-aim/ …
355,"*@2tweetaboutit @UKIP @Nigel_Farage Yes, very odd that 21st Cent., space-age technology can't defeat some medieval barbarians in the desert.."""
354,*Hordes of 3rd world barbarians are ruining lives of ppl of #Calais http://bit.ly/1TIkXIL  France no longer for the French #edl #ukip #bnp
353,"*@Bunnocks @MikeHookemMEP @UKIP - but we are at war with ISIS, and how many of those barbarians have sneaked in, in vehicles not searched?"""
352,"*@Welsh58 #auspol #ukip These scums r barbarians,can do anything for their benefit. Australia will face chaos if it doesn't act NOW.."""
351,"*@chalupatime @UKIP_Voter The barbarians are already banging on the gates,time to muster our legions."""
350,*@Jliscombe_UKIP @EnochWasRight_ those are real human heads. Totally barbarians.
359,*@the_dbh Thanks. I can well see that fitting into the mindset of UKIP and their supporters. Barbarians.
358,*Burka-clad woman turned away from Saudi mall for having exposed hands http://dailym.ai/1HI30X2  via @MailOnline getting beyond ridiculous
