Number,Tweet
1665,*@johnnydobbo sounds good. I'm a mix of Celtic and Northumbrian. Don't know where that leaves me in the eyes of UKIP.
1666,*@muchair @GraceBrodie @RuthDavidsonMSP @theresa_may Blue Collar Conservatism - isn't that shorthand for racism & UKIP?
1667,*Looks like Celtic are going to get out of Europe before UKIP
1668,*#Ukip Policy: We are to be renamed Free United Celtic Kingdom With Independent Trading Status.
1669,"*@bratdha Unfortunately, ignorant people are taking their cue from the likes of the Daily Mail and UKIP. It's immensely sad really."""
1670,*I've done my bit to f
1671,"*Nigel Farage has resigned as UKIP leader, saying: 'I've done my bit' http://dailym.ai/29o0IE5  """
1672,*@Blazespage @Celtic_Vines he is possibly UKIP's major arsewipe which is quite an achievement given the level of competition. A Grade A fud
1673,*Not as keen on Wales recently what with their sudden rise in UKIP and Leave voters but they're still celtic brethren #CymruAmByth
2037,"*@Trentprice101 @AngrySalmond Celtic is a football team, UKIP is a right wing party supported by bigots and racists """
2038,"*@Andyblyth67 @AngrySalmond not but many supporters of Celtic are, just the way you class all Ukip supporters together.You're not a smart one"""
2039,"*#Britain #AfterBrexit: Once this country likely fragments at the Celtic Fringe, I wonder what the #Brexit-ers will call """"#UKIP"""" & the """"UK""""?"""
2041,"*@celtic_spring @WingsScotland Tories won't do it,  UKIP will wipe out Labour and them outside of the cities in England."""
2042,*@WingsScotland @Camz99 @MhairiHunter Anarchy on the streets & a UKIP backlash vote. Seriously trying to avoid invoking Godwins Law but....
2043,"*@Kieran_Celtic The ukip lot, yes but don't assume everyone who voted leave are racist and/or fascist. Its just not true"""
2044,"*If u voted No and r voting leave that's twice you have been on the same side as Farage, UKIP, BoJo and every RW Hun "
2045,"*#Cymraeg safer outside EU say #UKIP but, with far right, voted against 2013 EP Endangered Language Report! Vote4 Celtic langs #VoteRemain"""
2046,*Wait... If we leave.
2047,*As a #Brythonic Celtic Language speaker... This ancient Briton proposes we reclaim our island and drive #UKIP back into the sea.
2048,*@helen_of_horror @marvelzombiek sure one of the UKIP posters rips a scene straight from a nazi propaganda film on immigration
2049,"*@celtic_spring Not really, bc @BBCNews would have to face how they have aided the rise RW commentary by giving UKIP unproportional platform"""
2050,*@UKIPWales @UKIP @MarkReckless surely anyone with Celtic heritage will vote leave!! We've been invaded by Vikings Normans Romans No to eu
2051,"*@StanCollymore everywhere the english go they cause it scum, the Russians are not going to be intimidated by fat English ukip voters #RUS"""
2052,"*@AIDAN_CELTIC I know  but if it helps there was a weird cunt with her that definitely voted UKIP, like you know, the weird suit type"""
2053,"*@bellacaledonia Why are you burbling this Edwardian  'Celtic Unity' shit? All of Cornwall's MPs are Tories, and UKip way outpoll Plaid Cymru"""
2054,*It's amazing how even UKIP can submit returns to the electoral commission yet neither RIC nor RISE have done.... @celtic_spring
2055,*@celtic_scotland Are all you UKIP fanboys wee jessies? Whit would Katie H think? Or thae feminists. #Pishinthersels
2056,"*@celtic_scotland fucksake, away and pick on some more lassies / immigrants etc on here and gie's peace ya jessie. What a total fanny. #UKIP"""
2480,*@AIDAN_CELTIC @BoatsAndJoes_ I live in Cheam and we have a dreadful Muslim problem. I have her address. #UKIP
2481,*@AIDAN_CELTIC Stealing our jobs and our women. They should just stay in their own country #BritainFirst #UKIP #RightWingCunts
2482,"*@X_Sticks_Real Well, there is UKIP, Britain First, The EDL / SDL, the BNP, Britannica. How lucky we are """
2483,*@Celtic_Pagan because the country is left & UKIP are labelled racist for nothin
2484,"*@UKIP @Nigel_Farage From Channel and Celtic sea French can land 7x the cod, 3x the plaice & 2x the Dover Sole we can """
2485,*#Celtic Conservatives?
2486,*@WingsScotland It's like a UKIP vision of post BREXIT Britain.
2487,*Follows UKIP & Cllr McCabe. Extremist with vile extreme views towards anyone who isn't a BritNat-> @scotsmiler @celtic_spring
2488,*Encouraging that a UKIP AM recognises our Celtic heritage  
2489,*'Am I confident? Yes I am' Farage declares Ukip will storm into Scottish #scottish #celtic http://webogi.com/vE9btA 
2490,*.@alunsaunders Gill is one of the slimiest politicians I've seen. He virtually oozed through my TV during the leaders debate... #UKIP
2491,*@Casumptious @599bt @waynemoore4e @DavidCoburnUKip The unfailingly 'polite' UKIP response to legitimate concern about Coburns competence 
2492,*Worrying to see the @UKIP surge in #Wales. I want to see more #Celtic identity in #Cymru!
2493,"*@MrRoddyGraham SNP Celtic, Labour Dundee Utd, Tories Rangers (obvs) Lib Dem Motherwell, Greens Ross County, UKIP Gretna"""
2494,"*@CapS45 @DilysDavies Sorry, I should be clearer... The people that voted UKIP, wouldn't vote Plaid if Plaid had the same policies."""
2495,*@CapS45 @DilysDavies Plaid could have the exact same policies as UKIP and not get the same votes - they have a stigma attached to them.
2496,*@sebaongok tories will get one. Maybe two. UKIP the same. But it's all about the SNP.
2497,*@CelticRockRoars @sigmundsteph @MadMentalTim thats fine all welcome at the open club known as the Celtic. But bet your in UKIP lol
2498,*@PeatWorrier Sounds like the kind of guy who'd get expelled from UKIP for bringing them into disrepute.
2499,"*@Labour_Celts @Celtic_Vines @glasgowhammy86 @RossFootball what's this """"Scot Labour"""" pish. You stood side by side with BNP, UKIP and TORIES."""
3144,"*Nothing makes me more proud to be a Celtic supporter than reading a right wing bio that says """"UKIP voter, hate Celtic"""""""
3145,"*@DrPaulMiddleton @shocker38 @Survation Christ UKIP 8%, have these people never heard of David Coburn?"""
3146,"*Please equalise Celtic, so I don't have to endure months of UKIP skinheads tweeting about """"taking back our city from the rats"""" or something."""
3147,"*I mean I don't like Celtic either, but Rangers are just terrible. UKIP merchants"""
3148,*@JamieRoss7 next hustings someone needs to ask him to clarify the UKIP stance on naked clown guitar bathing.
3149,"*@GaryBouse UKIP, 7 seats? Don't you f"
3150,*@bigronni3 @ClydeSSB he loves it when Celtic r knocked oot a Europe so him bein a UKIP voter wouldn't surprise me.
3151,*@paulnuttallukip @Ukip wants 'Celtic coalition' to protect union http://www.belfasttelegraph.co.uk/news/northern-ireland/ukip-wants-celtic-coalition-to-protect-union-34604358.html â€_  @BelTel Celts gang up against the English already.
3152,*@bbcquestiontime Where the f
3153,"*UKIP Northern Ireland Assembly Manifesto - Celtic Coalition of UKIP MLA`s, MSP`s & AM`s #ae16 #euref #brexit http://fb.me/3hWF7ZA2O """
3154,*UKIP wants Celtic Coalition to preserve Union 
3155,*Ukip wants 'celtic coalition' to protect union: Ukip's leader in the north David McNarry said he was not stand... http://binged.it/23c8My7 
3156,"*.@paulnuttallukip: We want a Celtic Coalition of UKIP members in Stormont, Holyrood and Cardiff Bay to protect UK http://www.belfasttelegraph.co.uk/news/northern-ireland/ukip-wants-celtic-coalition-to-protect-union-34604358.html â€_"""
3157,*Celtic Coalition of Unionists - UKIP manifesto launch #ae16
3683,"*.@paulnuttallukip 'Celtic' is an ethnological term, and would most likely exclude BME people. Which, I guess, is the way #ukip want it."""
