Number,Tweet
1249,*@Duffy81 Nooooo...!!! Brexit may result in me being deported back to this country with its barbaric laws! Shall I start claiming asylum?
1248,"*Muslims barbaric evil. Trump and Mike Pence, UK Brexit! Our time is coming back now! Watch out! #Muslimblight."""
2376,*#Brexit is THE example I have been fighting my entire life. #Barbaric #uneducated #uncultured #racist #bullies aided by those in uniform.
2377,"*When barbaric terrorist agree with your decision and even celebrates it, then you know you made the wrong one. #Brexit #EUref @rezaaslan"""
1838,*My heart absolutely breaks for the children of immigrants who have to experience the barbaric effects of #Brexit & fear for their safety.
2373,"*Ugly, barbaric racism? That describes any Islamic country, not the UK. "
4260,*LET'S STOP THIS BARBARIC PRACTICE  . Sick muslims only do it as if practicing on Christians ? BREXIT N FIX IT 
2860,*She was MP in same area as well. https://twitter.com/KTHopkins/status/745195672421408768 …
4262,*REVEALED: Dozens of German SOLDIERS ‘travel to Syria and Iraq to JOIN barbaric ISIS' http://shr.gs/uRpV3Nj  :> Brexit
1839,*@ShreddandRagan I wonder what Ronnie Pickering voted for #Brexit #Barbaric
4264,*#British #FGM Survivor Hopes To End ‘This Barbaric Abuse’ - she was cut at 6 yrs/O.
4265,"*Nicky Morgan's comments on a """"lost generation"""" through #Brexit are barbaric in the best of words. Scaremongering at its core."""
4266,*A beacon of light from a barbaric region
2861,*What does the #StrongerIn group have to say about this barbaric approach to campaigning? 
4268,*Nothing barbaric hear just an Imam teaching about stoning Women to death: http://bit.ly/1oVz0mq  #brussels #westminster #brexit
4269,"*@patcondell it's just as well it's a #ReligionofPeace , could you imagine the carnage if they followed a barbaric death cult  #Brexit"""
2862,*@standardnews https://twitter.com/euroguido/status/744876737289457664 …
4247,*Need #Brexit to stop&control the spread of this barbaric activity putting us back into the primitive past! #EUref  https://twitter.com/islam_dangerous/status/728586948864958465 …
2392,*Just think before you vote to #remain you are helping fund barbaric Spanish bullfighting vote #brexit
5661,*Spain to teach bullfighting in schools http://tgr.ph/1ON9WXt  
2863,*& #Brexit want to follow in footsteps of Australia with points based system?? It's barbaric & inhumane.. #RefugeeWeek; You're welcome here x
5667,"*@bluerobbo69 agreed, being a victim of the 60s  somewhat barbaric education system"""
5666,"*#Brexit, #Grexit, schmexit... enough with the barbaric makey-uppy words.  Even Le Monde is at it. @lemondefr #cacophony"""
5665,*Mark Steel: The Greek debt crisis is a tale of ritual humiliation http://ind.pn/1HytJp7  
1840,*Every second tweet is about a racist attack/abuse post Brexit. It's barbaric. The scum need to be punished. There's going to be another riot
2864,*Wake up UK! Sharia law is  misogynistic & barbaric. Has no place in democratic society Save the UK #BanIslam #Brexit 
2865,"*#Stay voters urge tolerance, openness, unity."
2866,*So.
406,"*scottish independence - barbaric, nationalist hordes. Hard Brexit anti-cosmopolitanism - rational preservation."""
2867,"*Proper adjectives for #Brexit campaign memes: Barbaric, absurd, untruthful, manipulative, cynical, arrogant. """
2393,*@Millhaven_Curse i'm actually stunned you'd vote for such a barbaric punishment 
2,*#bbcdp #EU Pathetic attempt to disgrace Marin Le Pen re Tweeting Barbaric Crimes of #ISIS just shows why our decision 2 #brexit WAS SPOT ON!
6,"*Every religion has to accept a watered down version frm some barbaric ways of 2000 yrs ago. Yet some, take all content literally to this day"""
2387,"*A border separating Europe form Britain is barbaric. We need to build up relationships between counties, not borders #Brexit #ukleaves"""
402,*Ok this Brexit thing has gone too far. I wasn't exactly keen on the rise of casual racism anyway but now NO Marmite? Barbaric! #Marmitegate
4273,"*Just like Tony Blair,a criminal who should b brought 2 justice for the barbaric happenings in #Europe #brexit #EUref"""
4272,*When will the lefties wake up!!
4271,*Sick public beheadings & female beatings which aren't ISIS - but UK's FRIENDS Saudi Arabia http://shr.gs/mX0LFIZ 
4270,*THE BANKERS OF ISIS AND THE UKs FRIEND! WHY AREN'T THEY TAKING ANY REFUGEES AT ALL? BARBARIC SAUDI ARABIA #Brexit 
4274,*Merkel Drubbed At The Ballot Box As Surging Nationalists Declare: 'People Voted AGAINST Her Migrant Policy' http://bit.ly/1phzzGI 
5658,*http://www.dogstrust.org.uk/whats-happening/news/dogs-trust-comment-on-scottish-government-plan-to-relax-tail-docking-legislation …
5659,"*@johnmknox @oowmygawd try as they might, the barbaric germans have never quite managed the concept of borders. #Brexit"""
164,"*Nigel Farage on #Brexit latest: """"I don't trust parliament on this. The neatest way to finish this off is for May to call an election"""""""
5657,*@realdealdanny the depravity these bastards show is barbaric.....where is the uproar? #Brexit
5655,*@Number10gov Dave doing a great job diverting attention from the barbaric policies of his squalid little government!  #Brexit
160,*@ManicPangloss wow I didn't know you left Islam. But yes he is barbaric. This is our brexit and I think we may be even more worse off thanUK
161,*You can't compare the vote on Brexit with the President election. Leaving the Eu was a balanced and fair debate! Backing Trump was barbaric!
162,*Barristers urge Liz Truss to condemn attacks on Brexit ruling judges
163,*#farage speaks of trust? Sincerely hope everyone can remember his barbaric contribution to the precarious position we're in #brexit #Europe
11,*I am fed up of the treacherous narcissists who voted #Brexit. They are self absorbed with nothing better to do. Barbaric. 
10,*@bbcasiannetwork @BBC lets talk about why there's never any prosecutions on FGM?  And why we allow this barbaric Act to happen in Britain. 
13,*Could you REALLY trust #RedUKIP to push for #Brexit? 
12,*Brexiteers who argued that #Brexit would not facilitate breakup of UK and creation of Little England (+Wales) have just been proved wrong https://twitter.com/robertcrossley2/status/841648069573771264 …
15,"*If reports of £60bn warchest for Brexit are true, money can be taken from that to stop this barbaric cut to the most vulnerable young people """
14,"*The barbaric EU once again showing their """"peaceful agenda"""" #lexit #brexit"
17,*@matthewhayden Yet the muslim hordes who infest western countries with their barbaric ideology roam unabated  #auspol #brexit #bristol
16,"*If Ministers deny 18-21s any help with housing costs, charities say '000s more will be homeless http://www.mirror.co.uk/news/politics/tory-plan-end-housing-benefit-9978589#ICID=sharebar_twitter …"""
19,*In Britain barbaric capitalism is most at ease - we're talking Brexit w/@VersoBooks @graciemaybe @AnnPettifor @faizashaheen @RichardJMurphy
18,*@gracebrodie @hugorifkind @iandunt @twit_grim he thinks racist orgy of #Brexit #BritNationalism more civilised than barbaric Scots.
2386,*Turkey is a jihadist country - women in burkas kept in steel cages - a barbaric country like Mideast - Brexit https://twitter.com/innocent_e_i/status/746074797268938752 …
3422,"*If the English fans will continue their barbaric behavior at #EURO2016, Europe would soon vote to kick them out of #EuroZone. #Brexit"""
151,*@TheVampsJames what is happening in #Aleppo is barbaric killing innocent people and what is the main news bloody Brexit. #AleppoMATTERS
150,"*#brexit """"majority vote is barbaric and should be eliminated"""" #donaldtrump """"but hillary got moar votes i don't understand"""""""
153,*Force-feeding ducks and geese to produce foie gras is seen by many as unethical. #R4in4 http://bbc.in/2gDx0vG 
152,*More barbaric Euro wrongness.
155,*The multi millionaire 'there's uncertainty around brexit' - only because morons like him keep making it so. Barbaric Tories OUT
154,*The Dawn of a New Barbaric Era? by @burakcop http://goo.gl/uTcePK  #Trump #Brexit #Merkel #Facism #Populism #Media
157,"*#Trump has got the guts to #draintheswamp & call it like it IS - evil,fanatical,sadistic,barbaric & UNWANTED"
156,*@jimmydolittle1 @wiillsjd @TelegraphNews A barbaric belief system that leftists welcome into Europe. Thank goodness for #brexit
2868,*We’re just 10 days from making the most terrible mistake on Europe | Matthew d’Ancona http://gu.com/p/4yv7f/stw  – He's right. #VoteRemain
158,"*Muslims tear apart a Christmas tree. They are literally tearing apart our culture but we are called """"intolerant"""".  https://twitter.com/JaredWyand/status/797832042717315072/video/1 …"""
1836,*Barbaric invasions  #InghilterraIslanda #Brexit
4259,*How dare West subject women to such barbaric archaic demoralising nonsense of madmen #auspol #Brexit https://twitter.com/mavros35169/status/722003910534176768 …
3438,*@HalaJaber @MadyWaterer is this what @David_Cameron @Number10gov wants in the #UK #islam - barbaric #brexit
4267,*Happy #EasterWeekend to all our friends around the world celebrating! 
3430,"*@SamuelMarcLowe @StrongerInPress So, the barbaric Brits will unleash a storm of animal cruelty after #Brexit , Scary """
3431,*This is barbaric and these people are in our country #Brexit  
3432,*https://twitter.com/Freeejjj/status/732943411989319681 …
3433,"*@Rachel_shares @foxglove53 Get real,  look at animal cruelty in eu barbaric eu does not protect our animals live exports - #Brexit"""
3434,"*The media coverage of the ' barbaric conditions ' of the immigrant Calais """" jungle """" dwellers has stopped.So close to the Brexit vote ! Why?"""
1837,"*Barbaric masses, the winners of the referendum #Brexit  """
3436,*Barbaric and incompatible with UK's culture.  Choose better: 23 June is our Independence Day.
3437,*Compulsory sterilisation to legally change gender is enforced in 11 of the 24 countries in #Eurovision 
1,*Is this some 3rd world barbaric country under tribal attack?
4258,*One of the main reasons I loathe Islam and its followers. Cruelty doesn't register in their world 
5,"*Barbaric live animal exports, which #EU law permits may be outlawed after #Brexit - a win for animal welfare."""
9,"*.@theresa_may Your Government statement on religious slaughter may be acceptable to you, but flooding the food chain with halal is not to us https://twitter.com/ongehass/status/843399425833795586 …"""
2378,*If media & GVT elites validated -not stifled burning concerns of its citizens:
2379,"*Ok actually one take. Let's call it """"the Brexit"""" not """"Brexit"""" without the article, which is barbaric."""
146,*#Brexit busy is no bad thing but true #BritishValues don't include backward barbaric behaviour like #FoxHunting. Britain's better than this!
147,*@theresa_may I realise you are Brexit busy but you must agree this has to stop! https://twitter.com/againsthunting/status/820401063056523267 …
144,*@xtremedoda So do uk peeps right to remain post brexit? No.Terrorist cases implied extradition to barbaric regimes. We're better than that.
145,"*@ProfAFinlayson The 'barbaric yawp' of Brexit at work, no doubt. Missed him myself, thank goodness."""
2877,*'The values and commitment that Jo Cox embodied are all that we have to keep barbarism at bay.'
2876,"*A disgusting, underhand and sly way of saying that Brexit supporters are barbaric. Don't politicise this horror! """
2875,"*@TomJefferson30 @99purityseal We will see, I doubt they will vote to #Brexit, especially after today's barbaric murder."""
2874,*ISIS stone four men to death in barbaric Medieval execution http://shr.gs/4gsNrcN 
4251,*Not OKing it R U? 
4250,*Europe 'to have more Muslims than Christians': Belgian minister warns 
4253,*You can expect Islamic spiritual growth in500yrs that's how long Christians took to stop being barbaric #Brexit 
1834,"*Have never felt so much tension in London. Brexit, Jo Cox' barbaric death, June23 unintended mutation into a moment of historic proportions"""
4255,"*@iancollinsuk @lbc The Turks MURDERED thousands of Cypriots & still ILLEGALLY OCCUPY the island! It's a barbaric, savage regime! #Brexit"""
4254,"*That is always open to change, growth, human achievement, learning, needs, spiritual growth.  Current example: Iran. https://twitter.com/markinnorthwest/status/727859685446066176 …"""
148,"*@Mechamage11 @leethe2nd @SLATUKIP foxhunting is barbaric, brexit is hilarious though."""
149,*@theresa_may listening to the barbaric 16% who want fox hunting. Not listening to the 48% who didn't vote Brexit. 
2374,"*#Brexit as poisonous nostalgia for the British Empire and it's ugly, barbaric racism. http://criticallegalthinking.com/2016/06/19/brexit-nostalgia-empire/?platform=hootsuite …"""
2375,"*#Brexit as poisonous nostalgia for the British Empire and it's ugly, barbaric racism. """
2871,*Remain are using the death of a woman my age with 2 tiny children to their advantage. That's not kind at all WATCH http://video.foxbusiness.com/v/4949126178001 
3429,*@earlofroden @weesharbear brexit for me and ban that barbaric religion as well
3428,"*As 80 nears, my own future is known.But what about my mostly female family, leaving them 2 face this barbaric horde is dreadful. BREXIT NOW"""
3423,"*@DonAgainstislam @Dizzypam @kajaki_anne I loathe the stinking, barbaric, backward, inbred sewer scum! #BanIslam #Brexit"""
1835,*People will harass leaders and threaten people like they have been doing....which is barbaric #Brexit
3421,*#OrlandoNightclubShooting 
3420,*#Gold Bulls BREXIT VS Gold & Silver No Contest as the Barbaric Metal Trumpet will Shout King Silver will rei…https://lnkd.in/b2tERmR 
3427,*@lawyers4animals Appalling cruelty in the name of 'traditional entertainment'. The people who do this or pay to see it are barbaric. #Brexit
3426,*How insulting for those women who were actually raped. Barbaric. #Brexit #Dexit #Nexit https://twitter.com/janimine/status/740031215965769728 …
